id_autor,nombre,nacionalidad
1,Gabriel García Márquez,Colombiana
2,Isabel Allende,Chilena
3,Mario Vargas Llosa,Peruana
4,Jorge Luis Borges,Argentina
5,Haruki Murakami,Japonesa
6,Alice Munro,Canadiense
7,Paulo Coelho,Brasileño
8,J.K. Rowling,Británica
9,Julio Cortázar,Argentina
10,Franz Kafka,Alemana
11,NULL,Española
12,Carlos Ruiz Zafón,España
13,Natsuo Kirino,Japonesa
14,Stephen King,Estadounidense
15,Herman Hesse,Alemán
16,Laura Esquivel,Mexicana
17,NULL,NULL
18,Muriel Spark,Británica
19,John Steinbeck,Estadounidense
20,Salman Rushdie,Británico-India
21,Mario Benedetti,Uruguaya
22,Anton Chejov,Rusa
23,Doris Lessing,Británica
24,Kazuo Ishiguro,Británico-Japonés
25,V.S. Naipaul,Trinidadense
26,NULL,NULL
27,Orson Scott Card,Estadounidense
28,Maxime Chattam,Francés
29,Clara Sánchez,Española
30,NULL,NULL